country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Jamaica,JAM,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.427423142,0.077263287,0.181303604,0.080869181,0.045566433,0.960811098,1.773236744,4714.86,2783000
Japan,JPN,Asia,Eastern Asia,2014,EFConsPerCap,0.463006883,0.108003985,0.251481563,0.339120243,0.058817816,3.523814043,4.744244534,46466.1,126795000
Jordan,JOR,Asia,Western Asia,2014,EFConsPerCap,0.496958089,0.140427947,0.180530126,0.031659654,0.073825567,1.212657161,2.136058544,3348.83,7416000
Kazakhstan,KAZ,Asia,Central Asia,2014,EFConsPerCap,0.947307164,0.185312933,0.110009523,0.02595459,0.039621473,4.505138478,5.813344162,10645.5,17372000
Kenya,KEN,Africa,Eastern Africa,2014,EFConsPerCap,0.255564549,0.227882942,0.260645028,0.043659183,0.043260794,0.208100254,1.039112749,1075.64,44864000
Kiribati,KIR,Oceania,Micronesia,2014,EFConsPerCap,0,0,0,0,0,0,5.843356484,1565.24,110000
"Korea, Democratic People's Republic of",PRK,Asia,Eastern Asia,2014,EFConsPerCap,0.285597699,0.001652778,0.137451343,0.024360631,0.058324752,2.365206457,2.87259366,0,25027000
"Korea, Republic of",KOR,Asia,Eastern Asia,2014,EFConsPerCap,0.712895527,0.126808448,0.216904768,0.478766875,0.061556417,4.218783913,5.815715949,24323.6,50074000
Kuwait,KWT,Asia,Western Asia,2014,EFConsPerCap,0.623584595,0.311122247,0.199018623,0.076059862,0.243153033,6.196214233,7.649152593,36259.4,3753000
Kyrgyzstan,KGZ,Asia,Central Asia,2014,EFConsPerCap,0.458373688,0.224243148,0.111094061,0.016009737,0.062530172,0.880820543,1.753071348,1003.51,5844000
Lao People's Democratic Republic,LAO,Asia,South-Eastern Asia,2014,EFConsPerCap,0.769501391,0.122167429,0.573655691,0.020102747,0.146023672,0.152551125,1.784002054,1470.5,6689000
Latvia,LVA,Europe,Northern Europe,2014,EFConsPerCap,0.981874069,0.156168386,2.421409582,0.20763863,0.056018587,1.802686139,5.625795393,13786.4,1989000
Lebanon,LBN,Asia,Western Asia,2014,EFConsPerCap,0.596831173,0.26485523,0.225210765,0.049919363,0.06503351,2.152040576,3.353890617,7447.36,5612000
Lesotho,LSO,Africa,Southern Africa,2014,EFConsPerCap,0.196622098,0.330424127,0.400714155,0.010640138,0.009969924,0.514040806,1.462411247,1323.24,2109000
Liberia,LBR,Africa,Western Africa,2014,EFConsPerCap,0.230192424,0.029530526,0.766741005,0.046060996,0.034128308,0.088534406,1.195187664,376.589,4397000
Libyan Arab Jamahiriya,LBY,Africa,Northern Africa,2014,EFConsPerCap,0.909503867,0.363324667,0.121528862,0.098825448,0.020214543,2.820988783,4.33438617,0,6259000
Lithuania,LTU,Europe,Northern Europe,2014,EFConsPerCap,1.313571752,0.240018845,1.407349091,0.372289883,0.099140443,2.364503694,5.796873709,14932.6,2917000
Luxembourg,LUX,Europe,Western Europe,2014,EFConsPerCap,1.087503449,0.715657307,0.785595156,0.147009006,0.101361259,9.447715944,12.28484212,107153,557000
Macedonia TFYR,MKD,Europe,Southern Europe,2014,EFConsPerCap,0.688374263,0.225748592,0.292605057,0.032882289,0.028835401,1.813081548,3.081527149,4920.22,2076000
Madagascar,MDG,Africa,Eastern Africa,2014,EFConsPerCap,0.250310899,0.342522859,0.229538627,0.02253514,0.055661637,0.076018481,0.976587643,408.661,23572000
Malawi,MWI,Africa,Eastern Africa,2014,EFConsPerCap,0.440443421,0.052325219,0.186187793,0.013002072,0.056335896,0.075908381,0.824202782,484.369,16695000
Malaysia,MYS,Asia,South-Eastern Asia,2014,EFConsPerCap,0.643667627,0.134253243,0.350501929,0.413962016,0.075265005,2.804944278,4.422594097,10398.2,29902000
Mali,MLI,Africa,Western Africa,2014,EFConsPerCap,0.531521235,0.581929448,0.158668245,0.034114561,0.072218115,0.159637762,1.538089365,705.788,17086000
Malta,MLT,Europe,Southern Europe,2014,EFConsPerCap,0.803425146,0.345544049,0.211646263,0.530405728,0.050797607,2.946725422,4.888544214,24080.2,418000
Martinique,MTQ,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,4.467807219,0,396000
Mauritania,MRT,Africa,Western Africa,2014,EFConsPerCap,0.400125774,1.318511397,0.204025624,0.008611029,0.049244366,0.322718412,2.303236601,1326.16,3970000
Mauritius,MUS,Africa,Eastern Africa,2014,EFConsPerCap,0,0,0,0,0,0,3.495044293,9163.63,1269000
Mexico,MEX,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.504132909,0.245427854,0.25029523,0.07777437,0.04584779,1.425100202,2.548578354,9492.99,125386000
"Micronesia, Federated States of",FSM,Oceania,Micronesia,2014,EFConsPerCap,0,0,0,0,0,0,5.68478836,2716.32,104000
Moldova,MDA,Europe,Eastern Europe,2014,EFConsPerCap,0.665640638,0.068999175,0.226125727,0.05602529,0.055023732,0.85557045,1.927385013,1986.94,4072000
Mongolia,MNG,Asia,Eastern Asia,2014,EFConsPerCap,0.28378191,4.589000451,0.162906106,0.003872621,0.065673785,4.394634697,9.49986957,3901.87,2910000
Montenegro,MNE,Europe,Southern Europe,2014,EFConsPerCap,0.573663759,0.277866212,0.513345869,0.054389386,0.020571218,1.976866301,3.416702745,7045.12,625000
Montserrat,MSR,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,4.626123841,0,5000
Morocco,MAR,Africa,Northern Africa,2014,EFConsPerCap,0.590844519,0.164801894,0.154808989,0.089320072,0.040529811,0.709257299,1.749562583,3110.21,33921000
Mozambique,MOZ,Africa,Eastern Africa,2014,EFConsPerCap,0.283779367,0.030674128,0.271216133,0.027493184,0.049996915,0.206527484,0.869687212,493.252,27216000
Myanmar,MMR,Asia,South-Eastern Asia,2014,EFConsPerCap,0.860316638,0.005477577,0.331934638,0.051331445,0.119043048,0.180574439,1.548677784,1266.12,53437000
Namibia,NAM,Africa,Southern Africa,2014,EFConsPerCap,0.335598007,0.169916452,0.243692854,0.246360827,0.019803384,1.07122395,2.086595475,5901.24,2403000
Nepal,NPL,Asia,Southern Asia,2014,EFConsPerCap,0.439560727,0.060005418,0.209811332,0.004817574,0.109888903,0.20226059,1.026344543,675.735,28175000
Netherlands,NLD,Europe,Western Europe,2014,EFConsPerCap,0.996576422,0.506549335,0.39778142,0.077867817,0.08940336,3.855294733,5.923473087,50497.2,16868000
Nicaragua,NIC,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.287030725,0.255036469,0.418839559,0.030580757,0.043130525,0.440609171,1.475227205,1812.99,6014000
Niger,NER,Africa,Western Africa,2014,EFConsPerCap,0.903220857,0.452335704,0.244835437,0.024510238,0.041633506,0.088647017,1.755182759,386.726,19114000
Nigeria,NGA,Africa,Western Africa,2014,EFConsPerCap,0.539949746,0.094684026,0.187596774,0.060936117,0.05233098,0.179809136,1.115306778,2563.09,177476000
Norway,NOR,Europe,Northern Europe,2014,EFConsPerCap,0.965323944,0.327358839,0.895567858,1.003321133,0.05521287,2.78596179,6.032746434,89275,5148000
Oman,OMN,Asia,Western Asia,2014,EFConsPerCap,0.452703132,0.340214874,0.151006765,0.335028682,0.184942117,4.851856688,6.315752258,17132.1,4236000
Pakistan,PAK,Asia,Southern Asia,2014,EFConsPerCap,0.312222434,0.001096922,0.082634586,0.0140419,0.042505098,0.336160722,0.788661662,1111.2,185044000
Panama,PAN,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.358272813,0.40328326,0.180740459,0.329823278,0.026672347,1.026086183,2.32487834,10229.2,3868000
Papua New Guinea,PNG,Oceania,Melanesia,2014,EFConsPerCap,0.33149305,0.040738616,0.359939649,0.702359781,0.156084387,0.258612729,1.849228212,2271.48,7464000
Paraguay,PRY,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.776196821,1.446684986,0.871800993,0.007932602,0.123533305,0.449585218,3.675733926,3761.91,6553000
Peru,PER,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.456103457,0.491086016,0.185732636,0.364451206,0.067697847,0.729166309,2.294237472,5823.96,30973000
Philippines,PHL,Asia,South-Eastern Asia,2014,EFConsPerCap,0.35708093,0.02580577,0.093490062,0.204391058,0.060056538,0.363465359,1.104289718,2505.82,99139000
Poland,POL,Europe,Eastern Europe,2014,EFConsPerCap,0.836747909,0.046973971,0.844607146,0.07046321,0.088710762,2.555116661,4.442619659,14088.7,38620000
Portugal,PRT,Europe,Southern Europe,2014,EFConsPerCap,0.838881159,0.27329386,0.137646374,0.325768577,0.024468741,2.087817774,3.687876485,21533.5,10402000
Qatar,QAT,Asia,Western Asia,2014,EFConsPerCap,0.491825362,0.302089604,0.203046804,0.190718122,0.052148931,14.41415298,15.65398181,67901.2,2172000
Réunion,REU,Africa,Eastern Africa,2014,EFConsPerCap,0,0,0,0,0,0,5.433471441,0,855000
Romania,ROU,Europe,Eastern Europe,2014,EFConsPerCap,0.793326417,0.067791767,0.349461384,0.036216794,0.159545909,1.39218242,2.798524692,9158.52,19652000
Russian Federation,RUS,Europe,Eastern Europe,2014,EFConsPerCap,0.9247617,0.146556739,0.683847511,0.198161059,0.037207863,3.577685167,5.568220041,11493.7,143429000
