country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Cambodia,KHM,Asia,South-Eastern Asia,2014,EFConsPerCap,0,0,0,0,0,0,1.317812033,972.979,15328000
Cameroon,CMR,Africa,Middle Africa,2014,EFConsPerCap,0.600418954,0.097241571,0.229636099,0.082567763,0.060076215,0.204179565,1.274120167,1428.22,22773000
Canada,CAN,North America,North America,2014,EFConsPerCap,1.071039044,0.324179318,1.093310651,0.137177992,0.062374002,5.361606628,8.049687636,50067,35588000
Cayman Islands,CYM,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,5.478265601,0,59000
Central African Republic,CAF,Africa,Middle Africa,2014,EFConsPerCap,0.291587899,0.520574233,0.219948039,0.017722688,0.036480229,0.038263612,1.124576701,302.546,4804000
Chad,TCD,Africa,Middle Africa,2014,EFConsPerCap,0.454073387,0.82006696,0.253603838,0.01417367,0.062813633,0.033884716,1.638616203,967.103,13587000
Chile,CHL,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.510524252,0.415168667,0.994019863,0.223006331,0.108311411,1.775369719,4.026400242,14702,17763000
China,CHN,Asia,Eastern Asia,2014,EFConsPerCap,0.581802669,0.139279972,0.201524997,0.084806494,0.122479064,2.580072223,3.70996542,6108.24,1400602000
Colombia,COL,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.37792367,0.515179266,0.163008808,0.040774159,0.100967946,0.715525098,1.913378947,7291.69,47791000
Comoros,COM,Africa,Eastern Africa,2014,EFConsPerCap,0,0,0,0,0,0,0.845711805,779.84,770000
Congo,COG,Africa,Middle Africa,2014,EFConsPerCap,0.263546141,0.105139208,0.311643793,0.115345537,0.035368991,0.383911224,1.214954894,2922.97,4505000
"Congo, Democratic Republic of",COD,Africa,Middle Africa,2014,EFConsPerCap,0.138499072,0.01232596,0.45953668,0.015741717,0.051289455,0.079322109,0.756714993,378.791,74877000
Cook Islands,COK,Oceania,Polynesia,2014,EFConsPerCap,0,0,0,0,0,0,5.956188429,0,21000
Costa Rica,CRI,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.346287704,0.221517516,0.693629151,0.085913117,0.103832896,1.059442603,2.510622986,9077.42,4758000
Croatia,HRV,Europe,Southern Europe,2014,EFConsPerCap,0.812008918,0.176259143,0.556692016,0.074304581,0.066924029,1.945851806,3.632040492,13517.8,4256000
Cuba,CUB,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.499563395,0.110695525,0.078662895,0.020467724,0.027870361,1.169212891,1.906472791,6182.77,11379000
Cyprus,CYP,Asia,Western Asia,2014,EFConsPerCap,0,0,0,0,0,0,3.322262164,26977.6,1154000
Czech Republic,CZE,Europe,Eastern Europe,2014,EFConsPerCap,0.872703414,0.302830533,0.785628744,0.034776902,0.152414316,3.451645332,5.599999241,20343.7,10543000
Denmark,DNK,Europe,Northern Europe,2014,EFConsPerCap,1.253462935,0.490182317,1.068026138,0.725167126,0.214075999,3.376198571,7.127113086,59437.9,5647000
Djibouti,DJI,Africa,Eastern Africa,2014,EFConsPerCap,1.722203793,0.261006723,0.293580287,0.034498737,0.203466327,0.422586069,2.937341936,1508.29,876000
Dominica,DMA,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0,0,0,0,0,0,2.528567561,6951.03,72000
Dominican Republic,DOM,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.375748,0.114228909,0.109195991,0.033440047,0.052805086,0.903590589,1.589008623,6193.76,10406000
Ecuador,ECU,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.31129936,0.1882282,0.238678551,0.071862493,0.073946622,1.159023818,2.043039044,5428.71,15903000
Egypt,EGY,Africa,Northern Africa,2014,EFConsPerCap,0,0,0,0,0,0,1.984131934,2608.38,89580000
