country,UN_region,year,BC_crop_land,BC_grazing_land,BC_forest_land,BC_fishing_ground,BC_built_up_land,BC_total,EF_crop_land,EF_grazing_land,EF_forest_land,EF_fishing_ground,EF_built_up_land,EF_total,population
Chad,Africa,2014,0.442676124,1.061442689,0.35866436,0.067113316,0.062813633,1.992710123,0.454073387,0.82006696,0.253603838,0.01417367,0.062813633,1.638616203,13587000
Chile,Latin America and the Caribbean,2014,0.326726464,0.44466666,2.212121467,0.377413818,0.108311411,3.46923982,0.510524252,0.415168667,0.994019863,0.223006331,0.108311411,4.026400242,17763000
China,Asia,2014,0.480241556,0.104179915,0.224600007,0.043792252,0.122479064,0.975292794,0.581802669,0.139279972,0.201524997,0.084806494,0.122479064,3.70996542,1400602000
Colombia,Latin America and the Caribbean,2014,0.264543703,1.203520871,2.070103667,0.068873295,0.100967946,3.708009483,0.37792367,0.515179266,0.163008808,0.040774159,0.100967946,1.913378947,47791000
Comoros,Africa,2014,0,0,0,0,0,0.334159352,0,0,0,0,0,0.845711805,770000
Congo,Africa,2014,0.145769545,2.975135568,6.988249841,0.343191107,0.035368991,10.48771505,0.263546141,0.105139208,0.311643793,0.115345537,0.035368991,1.214954894,4505000
"Congo, Democratic Republic of",Africa,2014,0.12128034,0.283237673,2.185928856,0.040862775,0.051289455,2.682599099,0.138499072,0.01232596,0.45953668,0.015741717,0.051289455,0.756714993,74877000
Cook Islands,Oceania,2014,0,0,0,0,0,1.195920172,0,0,0,0,0,5.956188429,21000
Costa Rica,Latin America and the Caribbean,2014,0.410395689,0.303944103,0.645637339,0.120995685,0.103832896,1.584805712,0.346287704,0.221517516,0.693629151,0.085913117,0.103832896,2.510622986,4758000
Croatia,Europe,2014,0.707058674,0.324949761,1.555020459,0.339775731,0.066924029,2.993728654,0.812008918,0.176259143,0.556692016,0.074304581,0.066924029,3.632040492,4256000
Cuba,Latin America and the Caribbean,2014,0.278231007,0.090336658,0.233695729,0.165022492,0.027870361,0.795156247,0.499563395,0.110695525,0.078662895,0.020467724,0.027870361,1.906472791,11379000
Cyprus,Asia,2014,0,0,0,0,0,0.243908148,0,0,0,0,0,3.322262164,1154000
Czech Republic,Europe,2014,1.111152305,0.070137327,1.317886423,0.002016028,0.152414316,2.653606398,0.872703414,0.302830533,0.785628744,0.034776902,0.152414316,5.599999241,10543000
Denmark,Europe,2014,2.061550175,0.00767642,0.33856948,1.803498451,0.214075999,4.425370526,1.253462935,0.490182317,1.068026138,0.725167126,0.214075999,7.127113086,5647000
Djibouti,Africa,2014,0.017662544,0.230677638,0.002199198,0.298884397,0.203466327,0.752890104,1.722203793,0.261006723,0.293580287,0.034498737,0.203466327,2.937341936,876000
Dominica,Latin America and the Caribbean,2014,0,0,0,0,0,1.049555575,0,0,0,0,0,2.528567561,72000
Dominican Republic,Latin America and the Caribbean,2014,0.249682211,0.110682757,0.158363519,0.024213031,0.052805086,0.595746604,0.375748,0.114228909,0.109195991,0.033440047,0.052805086,1.589008623,10406000
Ecuador,Latin America and the Caribbean,2014,0.363882251,0.18591085,1.34210089,0.105493917,0.073946622,2.071334529,0.31129936,0.1882282,0.238678551,0.071862493,0.073946622,2.043039044,15903000
Egypt,Africa,2014,0,0,0,0,0,0.473452314,0,0,0,0,0,1.984131934,89580000
El Salvador,Latin America and the Caribbean,2014,0.258053147,0.1534627,0.04263535,0.115858751,0.043906953,0.6139169,0.403070006,0.205709888,0.411378395,0.180847516,0.043906953,1.997794089,6108000
Equatorial Guinea,Africa,2014,0.124190568,0.132756097,2.710555414,0.913622752,0.025603543,3.906728373,0.312422564,0.021199995,0.260677684,0.160503738,0.025603543,3.019844205,821000
Eritrea,Africa,2014,0.081795576,0.223336593,0.101964509,1.121619081,0.025289253,1.554005012,0.112316273,0.223013372,0.079282146,0.015875344,0.025289253,0.502791938,5110000
Estonia,Europe,2014,1.227841063,0.085793368,4.015790354,4.326054289,0.073213584,9.728692658,0.644639283,0.126057297,2.845912859,0.072063433,0.073213584,6.965273874,1316000
Ethiopia,Africa,2014,0.35643242,0.115087319,0.044212207,0.039553169,0.071613153,0.626898268,0.349258894,0.109148095,0.450025026,0.002098243,0.071613153,1.088787481,96959000
