country,UN_region,year,BC_crop_land,BC_grazing_land,BC_forest_land,BC_fishing_ground,BC_built_up_land,BC_total,EF_crop_land,EF_grazing_land,EF_forest_land,EF_fishing_ground,EF_built_up_land,EF_total,population
Sri Lanka,Asia,2014,0.290278217,0.020249265,0.045105864,0.069376453,0.056385407,0.481395207,0.347169539,0.010432158,0.176876145,0.280805249,0.056385407,1.531969411,20619000
Sudan,Africa,2014,0.464641646,0.350014438,0.278303188,0.017978183,0.038348491,1.149285945,0.526948508,0.346907924,0.177520572,0.001111532,0.038348491,1.21832635,39350000
Suriname,Latin America and the Caribbean,2014,0.404774361,0.028789023,80.26893646,7.414159105,0.095743393,88.21240235,0.551988645,0.08517688,0.54885757,0.210465059,0.095743393,3.635389806,538000
Swaziland,Africa,2014,0.265970369,0.500203244,0.051763157,0.004635584,0.070146186,0.89271854,0.340087461,0.41564807,0.849963772,0.019015149,0.070146186,2.398095319,1269000
Sweden,Europe,2014,0.747121458,0.212934961,6.47247403,2.169938015,0.140698795,9.74316726,1.016282362,0.42485415,1.610214633,0.14508236,0.140698795,6.591055088,9703000
Switzerland,Europe,2014,0.176876872,0.113466841,0.721423638,0.00636569,0.068338712,1.086471753,0.663587536,0.219505448,0.346129233,0.071217293,0.068338712,4.850440134,8211000
Syrian Arab Republic,Asia,2014,0.307047576,0.116274368,0.049154316,0.004414665,0.029263567,0.506154492,0.515147484,0.097075709,0.02925628,0.010582358,0.029263567,1.46057601,18772000
Tajikistan,Asia,2014,0.295961892,0.134868079,0.006316989,0.011479506,0.093521232,0.542147697,0.423869949,0.137678745,0.112038277,0.002655051,0.093521232,0.968447238,8296000
"Tanzania, United Republic of",Africa,2014,0.631954674,0.312920626,0.151451269,0.056675959,0.083787092,1.23678962,0.612631143,0.31317351,0.218834096,0.073588255,0.083787092,1.466763219,51823000
Thailand,Asia,2014,0.803529181,0.010606918,0.194118836,0.193980257,0.069450788,1.27168598,0.643242552,0.017009642,0.200763628,0.138787416,0.069450788,2.492449712,67726000
Timor-Leste,Asia,2014,0.190396973,0.059242655,0.48371323,0.91720002,0.040712254,1.691265131,0.258862043,0.064299391,0.038772658,0.02426501,0.040712254,0.566357047,1157000
Togo,Africa,2014,0.361565006,0.112192049,0.021969614,0.020238605,0.026387066,0.542352339,0.386854356,0.097943221,0.250733932,0.060641336,0.026387066,1.106773529,7115000
Tonga,Oceania,2014,0,0,0,0,0,1.58890531,0,0,0,0,0,3.302010847,106000
Trinidad and Tobago,Latin America and the Caribbean,2014,0.047960337,0.006090871,0.145689602,1.360856977,0.001308062,1.56190585,0.482632085,0.19397597,0.390380551,0.124375121,0.001308062,6.689615088,1354000
Tunisia,Africa,2014,0.397384904,0.079974682,0.052322252,0.232507988,0.02675763,0.788947456,0.650371064,0.089719548,0.250720352,0.074040809,0.02675763,2.172339815,11130000
Turkey,Asia,2014,0.700821009,0.088717138,0.574034263,0.041666742,0.034092161,1.439331313,0.802071787,0.108725564,0.321545394,0.029696491,0.034092161,3.20786067,77524000
Turkmenistan,Asia,2014,0.470317603,1.927043287,0.014633907,0.125885026,0.070976808,2.608856631,0.543978495,0.582312505,0.085601571,0.007457058,0.070976808,5.563078698,5307000
Uganda,Africa,2014,0.320001241,0.145950041,0.00989698,0.039929039,0.035847523,0.551624823,0.294869642,0.144744445,0.513101029,0.09728994,0.035847523,1.186947869,37783000
Ukraine,Europe,2014,1.857681448,0.144125034,0.428633126,0.153065257,0.083908296,2.66741316,1.020675063,0.016056752,0.146292672,0.076234748,0.083908296,2.963994838,45002000
United Arab Emirates,Asia,2014,0.02388593,0.0012394,0.066505548,0.46524199,0,0.556872868,0.839851395,0.244828637,0.512796903,0.301698174,0,9.752580855,9086000
United Kingdom,Europe,2014,0.512192186,0.115578939,0.122174043,0.2994725,0.15563516,1.205052827,0.83242341,0.249947415,0.483055357,0.081926234,0.15563516,4.799216134,64331000
United States of America,North America,2014,1.341757927,0.27857943,1.549343419,0.330624398,0.083459448,3.583764622,1.039327115,0.298852503,0.831752575,0.13521935,0.083459448,8.366051558,319449000
Uruguay,Latin America and the Caribbean,2014,1.908802333,4.85339356,1.231098951,2.185132454,0.145689415,10.32411671,0.236225377,1.357100891,0.39014977,0.054283664,0.145689415,2.981182412,3420000
Uzbekistan,Asia,2014,0.534805983,0.190739736,0.056276217,0.02744908,0.080183451,0.889454467,0.584944705,0.175285557,0.092747,0.005296216,0.080183451,2.170705887,29470000
Vanuatu,Oceania,2014,0,0,0,0,0,2.361576044,0,0,0,0,0,3.796226007,259000
"Venezuela, Bolivarian Republic of",Latin America and the Caribbean,2014,0.132978646,0.562658536,1.719959815,0.238049491,0.034962785,2.688609272,0.459584486,0.766616908,0.113567626,0.081115669,0.034962785,3.271243368,30694000
Viet Nam,Asia,2014,0.594846395,0.009226516,0.169623237,0.159986658,0.112355596,1.046038401,0.589836233,0.010110342,0.188275043,0.046560645,0.112355596,1.73407381,92423000
Yemen,Asia,2014,0.060886099,0.111150515,0.0394043,0.188354247,0.029481749,0.429276909,0.264564789,0.139436055,0.041573599,0.03982264,0.029481749,1.007929652,26184000
Zambia,Africa,2014,0.226306747,0.846422897,0.874518693,0.021563847,0.039779961,2.008592145,0.199359561,0.159753857,0.303949266,0.034802299,0.039779961,0.953958895,15721000
Zimbabwe,Africa,2014,0.118703549,0.288349008,0.106247844,0.009429908,0.018115059,0.540845367,0.157530302,0.288169511,0.266993099,0.007962904,0.018115059,1.0881328,15246000
Libya,Africa,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Africa,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,Asia,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,Africa,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,Africa,2014,0,0,0,0,0,0,0,0,0,0,0,0,0
